Categories,Name,AdditionalDescription
"3D Printing",3dp_cli_format,"Controls CLI file format (ASCII or binary) for 3D printing."
"3D Printing",3dp_discard_empty_base_slices,"Ignores empty slices between tray and model bottom."
"3D Printing",3dp_ignore_lattice_for_support,"Excludes lattice structures when creating supports."
"3D Printing",3dp_ignore_lattice_volume,"Controls if lattice volumes affect model position on tray."
"3D Printing",3dp_multiple_cli_files,"Creates separate CLI files for different model components."
"3D Printing",3dp_multithread_slicing,"Enables parallel processing during slicing operations."
"3D Printing",3dp_slice_location,"Sets slice height within each layer (base, mid, or top)."
"3D Printing",3dp_slicing_layer_height,"Defines layer height (mm) for the slicing process."
"3D Printing",3dp_slicing_set_minz_value,"Sets starting height above tray for slicing operation."
"3D Printing",print3d_3mf_lattice_ext,"Enables 3MF Lattice extension for lattice structures."
"3D Printing",print3d_bound_offset,"Sets offset from tray box for auto-position and nesting."
"3D Printing",print3d_enable_tooltips,"Shows material tooltips when hovering over components."
"3D Printing",print3d_floor_offset,"Sets height offset from tray floor for model placement."
"3D Printing",print3d_load_printers_dir,"Specifies directory for user-defined 3D printers."
"3D Printing",print3d_material_lib_path,"Sets directory for 3D printing material library."
"3D Printing",print3d_min_gap_color,"Sets highlight color for narrow gaps in 3D printing."
"3D Printing",print3d_min_gap_tolerance,"Sets tolerance for gap analysis in 3D printing."
"3D Printing",print3d_min_gap_width,"Defines minimum acceptable gap for printability."
"3D Printing",print3d_min_wall_color,"Sets highlight color for thin walls in 3D printing."
"3D Printing",print3d_min_wall_tolerance,"Sets tolerance for wall thickness analysis."
"3D Printing",print3d_min_wall_width,"Defines minimum acceptable wall thickness."
"3D Printing",print3d_offline_materials_dir,"Sets root directory for offline material data."
"3D Printing",print3d_offline_materials_use,"Controls use of offline material data."
"3D Printing",print3d_stl_allow_negative_vals,"Allows negative values in STL export."
"3D Printing",print3d_stl_export_angle,"Sets angle control for STL export precision."
"3D Printing",print3d_stl_export_chord_height,"Sets chord height for STL export precision."
"3D Printing",print3d_stl_export_multibody,"Exports separate STL files for multiple bodies."
"3D Printing",print3d_stl_export_separately,"Exports model components as separate STL files."
"3D Printing",print3d_stl_export_step_size,"Sets step size for STL export precision."
"3D Printing",print3d_stl_export_type,"Controls STL file format (ASCII or binary)."
"3D Printing",print3d_stl_prop_chord_height,"Scales chord heights proportionally to model size."
"3D Printing",print3d_stl_prop_step_size,"Scales step sizes proportionally to model size."
"3D Printing",print3d_stl_ud_angle,"Uses user-defined angle for STL export."
"3D Printing",print3d_stl_ud_chord_height,"Uses user-defined chord height for STL export."
"3D Printing",print3d_stl_ud_step_size,"Uses user-defined step size for STL export."
"3D Printing",lattice_points_in_simulate_only,"Controls display of lattice boundary points in Simulation mode."
"3D Printing",display_lattices_in_hq,"Improves shaded representation quality of simplified lattices."
"3D Printing",display_thick_lattices,"Displays beams of simplified lattices in shaded representation."
"Sketcher",grid_snap,"Controls whether sketcher snaps to grid intersections."
"Sketcher",sketcher_snap_sensitivity,"Adjusts how sensitive snapping is to nearby geometry."
"Sketcher",sketcher_grid_type,"Set grid type to Cartesian or Polar for different sketching needs."
"Sketcher",sketcher_disp_grid,"Controls visibility of the sketcher grid."
"Sketcher",sketcher_disp_constraints,"Controls display of geometric constraints in sketcher."
"Sketcher",sketcher_line_width,"Controls the thickness of sketched lines for better visibility."
"Sketcher",sketcher_highlight_open_ends,"Helps identify unconnected endpoints in sketches."
"Sketcher",sketcher_import_exact_geom,"Controls precision when importing geometry into sketcher."
"Sketcher",sketcher_dimension_autolock,"Automatically locks dimensions after modification."
"Sketcher",2d_palette_path,"Sets directory for custom sketcher shapes library."
"Sketcher",sketch_ref_list_sensitivity,"Adjusts how quickly references are added to guide list."
"Sketcher",sketcher_disp_weak_dimensions,"Controls display of automatically created dimensions."
"Sketcher",sketcher_starts_in_2d,"Controls initial view orientation when entering sketcher."
"Sketcher",sketcher_shade_closed_loops,"Makes closed sketch loops appear shaded for better visibility."
"Sketcher",autohide_external_sketch,"Automatically hides sketch after using it as reference."
"Sketcher",sketcher_snap_model_geometry,"Allows snapping to existing geometry while sketching."
"Sketcher",sketcher_auto_scale_dimensions,"Scales sketch when modifying first weak dimension."
"Sketcher",sketcher_undo_stack_limit,"Controls how many undo operations are available in sketcher."
"Sketcher",display_sketch_dims,"Controls visibility of dimensions during dynamic edits."
"Sketcher",sketcher_disp_guides,"Shows alignment guides when sketching for better precision."
"Sketcher",display_dwg_sketch_constraint,"Shows sketch constraints in drawing mode."
"Sketcher",dwg_sketch_coincident_guide,"Displays visual guides for coincident points in drawing sketcher."
"Sketcher",dwg_sketch_horizontal_guide,"Shows horizontal alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_vertical_guide,"Shows vertical alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_tangent_guide,"Shows tangent alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_perpendicular_guide,"Shows perpendicular alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_parallel_guide,"Shows parallel alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_equal_guide,"Shows equal length/radius alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_diagonal_guide,"Shows diagonal alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_midpoint_guide,"Shows midpoint alignment guides in drawing sketcher."
"Sketcher",dwg_sketch_instant_snap_to_geom,"Controls automatic snapping to geometry in drawing sketcher."
"Sketcher",dwg_sketch_snap_to_model_geom,"Allows snapping to model geometry when sketching in drawings."
"Sketcher",dwg_sketch_ribbon,"Controls which sketching tools are available in drawing mode."
"Sketcher",orthogonal_snap,"Controls ability to draw non-orthogonal lines in diagrams."
"Colors",color,"Turns colors on or off in the model display."
"Colors",system_colors_file,"Specifies the system color file for default coloring scheme."
"Colors",color_resolution,"Controls precision of user-defined colors."
"Colors",global_appearance_file,"Sets the global appearance file for materials."
"Colors",pro_colormap_path,"Specifies path to color map file for visualization."
"Colors",number_user_colors,"Sets maximum number of wireframe colors in graphics area."
"Colors",lighting_display_for_analysis,"Uses lighting color scheme for analysis display."
"Colors",use_part_color_for_hidden_lines,"Uses part color for hidden lines instead of system color."
"Colors",mat_assign_appearance,"Automatically assigns material appearance to parts."
"Colors",reflection_analysis_display,"Controls how reflection stripes are displayed."
"Colors",color_ramp_size,"Specifies number of shades in color ramp for analysis display."
"Colors",skeleton_model_default_color,"Sets the default color for skeleton models."
"Colors",preserve_comp_color_in_preview,"Preserves component colors during placement preview."
"Colors",allow_color_change_for_symbols,"Allows changing color of symbols and surface finishes."
"Colors",csys_color_rgb,"Displays coordinate systems in RGB palette or single color."
"Colors",dim_background_color,"Controls how dimension backgrounds are colored."
"Colors",dim_background_color_rgb,"Sets RGB value for dimension backgrounds."
"Colors",sketch_dim_background_color,"Controls dimension background color in sketcher."
"Colors",sketch_dim_background_color_rgb,"Sets RGB value for dimension backgrounds in sketcher."
"Colors",weld_color,"Defines default color for welds."
"Colors",light_weld_hidden_color,"Defines color for hidden light welds."
"Colors",single_side_surf_color,"Allows applying color to a single side of a surface."
"Colors",3d_datum_display_fill,"Controls visibility of shaded color fill of datum planes."
"Colors",section_color,"Specifies the color of sketched sections."
"Colors",enclosure_volume_transparency,"Controls transparency of enclosure volumes."
"Colors",custom_rainbow,""
"Usability",windows_scale,"Controls UI scaling for high-DPI displays. Values: 1.0, 1.25, 1.5, 2.0, etc. (Default is system-dependent)"
"Usability",text_height_factor,"Modify text scaling in menus and the model tree."
"Usability",prompt_on_exit,"Disable the exit confirmation dialog."
"Usability",web_browser_homepage,"Set to blank or a local file to prevent unwanted loading. Or use your homepage"
"Usability",save_display,"Reduce save file size by not storing display info."
"Usability",dim_background_color_rgb,"Sets RGB value for dimension backgrounds."
"Usability",sketch_dim_background_color_rgb,"Sets RGB value for dimension backgrounds in sketcher."
"Usability",dim_background_color,"Controls how dimension backgrounds are colored."
"Usability",3d_datum_display_fill,"Controls visibility of shaded color fill of datum planes."
"Usability",section_color,"Specifies the color of sketched sections."
"Usability",enable_punditas_browser_tab,"Turn it off"
"Usability",enable_partcommunity_tab,"Turn it off"
"Usability",file_open_preview_default,"Turn it On will save you time"
"Usability",web_browser_in_separate_window,"Turn it off"
"Usability",accessory_window_above,"Turn it off"
"Usability",accessory_window_display,"Turn it off"
"Usability",advanced_rendering_mode,"Turn it off"
"Usability",attach_menumanager,"Turn it on"
"Usability",datum_display_default,"Turn it on"
"Usability",datum_outline_default_height,""
"Usability",datum_outline_default_width,""
"Usability",denoise_render,""
"Usability",dim_background,""
"Usability",dim_background_color,""
"Usability",dim_background_color_rgb,""
"Usability",dim_background_trans,""
"Usability",display_combined_views,""
"Usability",allow_confirm_window,"Do not show the are you sure you want to exit dialog"
"Paths",add_java_class_path,"Sets Java classpath for finding classes in J-Link programs."
"Paths",board_bend_table_directory,"Sets directory for board bend allowance table files."
"Paths",board_design_rules_directory,"Sets directory for board design rules files."
"Paths",board_flange_shape_sketches_dir,"Sets directory containing flange shapes."
"Paths",board_flat_shape_sketches_dir,"Sets directory containing flat shapes."
"Paths",board_parameters_directory,"Sets directory for board parameters files."
"Paths",composite_laser_projection_dir,"Sets directory for laser projection files."
"Paths",composite_stacks_dir,"Sets directory for stack files library."
"Paths",ecad_usrdef_area_type_file_path,"Sets path to CSV file with user-defined ECAD area types."
"Paths",export_ply_dir,"Sets directory for exported ply DXF/DWG files."
"Paths",global_appearance_file,"Sets file path for material global appearances."
"Paths",harn_start_model_dir,"Sets directory containing harness start parts and assemblies."
"Paths",intf3d_ideas_install_dir,"Sets path for I-DEAS installation."
"Paths",intf_profile_dir,"Sets directory for import and export profiles."
"Paths",print3d_load_printers_dir,"Sets directory for user-defined 3D printers."
"Paths",print3d_material_lib_path,"Sets directory for 3D printing part material library."
"Paths",print3d_offline_materials_dir,"Sets root directory for 3D printing materials offline data."
"Paths",pro_ansys_path,"Sets path to ANSYS executable."
"Paths",pro_catalog_dir,"Sets path to catalog directory for mold components."
"Paths",pro_cav_lay_rule_dir,"Sets directory for cavity layout rules."
"Paths",pro_cbltrm_dir,"Sets directory for retrieving terminators."
"Paths",pro_colormap_path,"Sets directory path for color map files."
"Paths",pro_dtl_setup_dir,"Sets directory for drawing setup files."
"Paths",pro_format_dir,"Sets directory for drawing format library."
"Paths",pro_genesis_path,"Sets path to Genesis executable."
"Paths",pro_gplug_dir,"Sets directory for Granite application plug-ins."
"Paths",pro_nastran_path,"Sets path to MSC/NASTRAN executable."
"Paths",pro_nei_nastran_path,"Sets path to NEi Nastran executable."
"Paths",pro_note_dir,"Sets directory for retrieving drawing notes from files."
"Paths",pro_palette_dir,"Sets directory for drawing symbol palette files."
"Paths",pro_solver_path,"Sets path to user-defined solver executable."
"Paths",pro_spool_dir,"Sets directory for retrieving spools."
"Paths",pro_symbol_dir,"Sets directory for user-defined symbols."
"Paths",pro_table_dir,"Sets directory for retrieving and saving tables."
"Paths",prodevdat,"Sets path to additional Toolkit registry file."
"Paths",protkdat,"Sets path to additional Toolkit registry file."
"Paths",sim_beamsection_path,"Sets path where Beam Sections are stored."
"Paths",sim_fatigue_user_directory,"Sets directory for simulation user files."
"Paths",sim_html_report_prefs_file,"Sets path to Simulation HTML report preferences file."
"Paths",sim_pp_template_dir,"Sets directory for results template files."
"Paths",sim_run_out_dir,"Sets directory for Creo Simulate run output storage."
"Paths",sim_run_tmp_dir,"Sets directory for Creo Simulate run temporary storage."
"Paths",simulation_process_template_dir,"Sets directory for Process Guide template files."
"Paths",std_nastran_template,"Sets file path of NASTRAN deck template."
"Paths",system_colors_file,"Sets system color file path for default coloring scheme."
"Paths",toolkit_registry_file,"Sets path to additional Toolkit registry file."
"Paths",tolerance_table_dir,"Sets directory for user-defined tolerance tables."
"Paths",web_browser_homepage,"Sets homepage for internal web browser."
"Paths",2d_palette_path,"Add a library of your own sketches to save lots of time."
"Popular",enable_punditas_browser_tab,"Turn it off"
"Popular",enable_partcommunity_tab,"Turn it off"
"Popular",file_open_preview_default,"Turn it On will save you time"
"Popular",web_browser_in_separate_window,"Turn it off"
"Performance",edge_display_quality,"Set to a higher value if you have a good graphics card."
"Performance",skip_small_surfaces,"Set to a NO if you have a good graphics card."
"Defaults",drawing_setup_file,"Set to $PRO_DIRECTORY\text\prodetail.dtl"
"Defaults",format_setup_file,"Set to $PRO_DIRECTORY\text\prodetail.dtl"
"Defaults",pro_unit_length,"Set to unit_inch"
"Defaults",pro_unit_mass,"Set to unit_pound"
"Defaults",template_designasm,"Set to $PRO_DIRECTORY\templates\inlbs_asm_design_abs.asm"
"Defaults",template_new_ecadasm,"Set to $PRO_DIRECTORY\templates\inlbs_ecad_asm_abs.asm"
"Defaults",template_drawing,"Set to $PRO_DIRECTORY\templates\c_drawing.drw"
"Defaults",template_sheetmetalpart,"Set to $PRO_DIRECTORY\templates\inlbs_part_sheetmetal_abs.prt"
"Defaults",template_solidpart,"Set to $PRO_DIRECTORY\templates\inlbs_part_solid_abs.prt"
"Defaults",template_boardpart,"Set to $PRO_DIRECTORY\templates\inlbs_ecad_board_abs.prt"
"Defaults",todays_date_note_format,"Set to %Mmm-%dd-%yy"
"Defaults",tolerance_standard,"Set to ansi"
"Defaults",weld_ui_standard,"Set to ansi"
"Defaults",search_path_file,"Set to $CREO_COMMON_FILES\ifx\parts\prolibrary\search.pro"
"Favorites",2d_palette_path,"Add a library of your own sketches to save lots of time."
"Favorites",allow_confirm_window,"Do not show the are you sure you want to exit dialog"
"Newly Added",composite_laser_projection_dir,"Added in Creo 11"
"Newly Added",composite_stacks_dir,"Added in Creo 11"
"Newly Added",default_boundary_refs_strong,"Added in Creo 11"
